Center Name,Borough,Service,Street_Address,Latitude,Longitude,Phone,URL,Comments
Help USA II,Bronx,Homebase,"1780 Grand Concourse, Level I",,,347-226-4540,,Mount Hope
Help USA II,Bronx,Homebase,1981 Sedgwick Avenue,,,718-215-6453,,Morris Heights
ARCHNY I,Bronx,Homebase,2155 Blackrock Avenue,,,718-414-1050,,Unionport
ARCHNY I,Bronx,Homebase,890 Garrison Avenue,,,929-259-9430,,Hunts Point
ARCHNY II,Bronx,Homebase,2901 White Plains Road,,,347-913-4694,,Bronxdale
ARCHNY II,Bronx,Homebase,4377 Bronx Boulevard,,,347-947-3920,,Woodlawn
CAMBA I,Brooklyn,Homebase,1117 Eastern Parkway,,,718-622-7323,,Crown Heights
CAMBA I,Brooklyn,Homebase,1958 Fulton Street,,,718-408-5756,,Bedford Stuyvesant
RBSCC,Brooklyn,Homebase,90 Beaver Street,,,718-366-4300,,Bushwick
RBSCC,Brooklyn,Homebase,1475 Myrtle Avenue,,,347-295-3738,,Bushwick North
RBSCC,Brooklyn,Homebase,145 East 98th Street,,,917-819-3200,,Brownsville
CNS II,Brooklyn,Homebase,3060 Fulton Street,,,929-234-3036,,East New York
CAMBA II,Staten Island,Homebase,"120 Stuyvesant Place, Suite 413",,,"718-282-6473, EX. 75007",,Staten Island
CNS I,Queens,Homebase,87-80 Merrick Boulevard,,,718-674-1000,,Jamaica
CNS I,Queens,Homebase,Rockaways,,,718-647-1015,,Rockaways
CAMBA II,Brooklyn,Homebase,2211 Church Ave.,,,718-940-6311,,Flatbush
